fueltype,length,curbweight,horsepower,price
gas,168.8,2548,111,13495
gas,168.8,2548,111,16500
gas,171.2,2823,154,16500
gas,176.6,2337,102,13950
gas,176.6,2824,115,17450
gas,177.3,2507,110,15250
gas,192.7,2844,110,17710
gas,192.7,2954,110,18920
gas,192.7,3086,140,23875
gas,176.8,2395,101,16430
gas,176.8,2395,101,16925
gas,176.8,2710,121,20970
gas,176.8,2765,121,21105
gas,189,3055,121,24565
gas,189,3230,182,30760
gas,193.8,3380,182,41315
gas,197,3505,182,36880
gas,141.1,1488,48,5151
gas,155.9,1874,70,6295
gas,158.8,1909,70,6575
gas,157.3,1876,68,5572
gas,157.3,1876,68,6377
gas,157.3,2128,102,7957
gas,157.3,1967,68,6229
gas,157.3,1989,68,6692
gas,157.3,1989,68,7609
gas,157.3,2191,102,8558
gas,174.6,2535,88,8921
gas,173.2,2811,145,12964
gas,144.6,1713,58,6479
gas,144.6,1819,76,6855
gas,150,1837,60,5399
gas,150,1940,76,6529
gas,150,1956,76,7129
gas,163.4,2010,76,7295
gas,157.1,2024,76,7295
gas,167.5,2236,86,7895
gas,167.5,2289,86,9095
gas,175.4,2304,86,8845
gas,175.4,2372,86,10295
gas,175.4,2465,101,12945
gas,169.1,2293,100,10345
gas,170.7,2337,78,6785
gas,172.6,2734,90,11048
gas,199.6,4066,176,32250
gas,199.6,4066,176,35550
gas,191.7,3950,262,36000
gas,159.1,1890,68,5195
gas,159.1,1900,68,6095
gas,159.1,1905,68,6795
gas,166.8,1945,68,6695
gas,166.8,1950,68,7395
gas,169,2380,101,10945
gas,169,2380,101,11845
gas,169,2385,101,13645
gas,169,2500,135,15645
gas,177.8,2385,84,8845
gas,177.8,2410,84,8495
gas,177.8,2385,84,10595
gas,177.8,2410,84,10245
diesel,177.8,2443,64,10795
gas,177.8,2425,84,11245
gas,175,2670,120,18280
diesel,175,2700,72,18344
diesel,190.9,3515,123,25552
diesel,190.9,3750,123,28248
diesel,187.5,3495,123,28176
diesel,202.6,3770,123,31600
gas,202.6,3740,155,34184
gas,180.3,3685,155,35056
gas,208.1,3900,184,40960
gas,199.2,3715,184,45400
gas,178.4,2910,175,16503
gas,157.3,1918,68,5389
gas,157.3,1944,68,6189
gas,157.3,2004,68,6669
gas,157.3,2145,102,7689
gas,173,2370,116,9959
gas,173,2328,88,8499
gas,173.2,2833,145,12629
gas,173.2,2921,145,14869
gas,173.2,2926,145,14489
gas,172.4,2365,88,6989
gas,172.4,2405,88,8189
gas,172.4,2403,116,9279
gas,172.4,2403,116,9279
gas,165.3,1889,69,5499
diesel,165.3,2017,55,7099
gas,165.3,1918,69,6649
gas,165.3,1938,69,6849
gas,170.2,2024,69,7349
gas,165.3,1951,69,7299
gas,165.6,2028,69,7799
gas,165.3,1971,69,7499
gas,170.2,2037,69,7999
gas,162.4,2008,69,8249
gas,173.4,2324,97,8949
gas,173.4,2302,97,9549
gas,181.7,3095,152,13499
gas,184.6,3296,152,14399
gas,184.6,3060,152,13499
gas,170.7,3071,160,17199
gas,170.7,3139,200,19699
gas,178.5,3139,160,18399
gas,186.7,3020,97,11900
diesel,186.7,3197,95,13200
gas,198.9,3230,97,12440
diesel,198.9,3430,95,13860
gas,186.7,3075,95,15580
diesel,186.7,3252,95,16900
gas,198.9,3285,95,16695
diesel,198.9,3485,95,17075
gas,186.7,3075,97,16630
diesel,186.7,3252,95,17950
gas,186.7,3130,142,18150
gas,157.3,1918,68,5572
gas,157.3,2128,102,7957
gas,157.3,1967,68,6229
gas,167.3,1989,68,6692
gas,167.3,2191,68,7609
gas,174.6,2535,88,8921
gas,173.2,2818,145,12764
gas,168.9,2778,143,22018
gas,168.9,2756,207,32528
gas,168.9,2756,207,34028
gas,168.9,2800,207,37028
gas,186.6,2658,110,11850
gas,186.6,2695,110,12170
gas,186.6,2707,110,15040
gas,186.6,2758,110,15510
gas,186.6,2808,160,18150
gas,186.6,2847,160,18620
gas,156.9,2050,69,5118
gas,157.9,2120,73,7053
gas,157.3,2240,73,7603
gas,172,2145,82,7126
gas,172,2190,82,7775
gas,172,2340,94,9960
gas,172,2385,82,9233
gas,172,2510,111,11259
gas,173.5,2290,82,7463
gas,173.5,2455,94,10198
gas,173.6,2420,82,8013
gas,173.6,2650,111,11694
gas,158.7,1985,62,5348
gas,158.7,2040,62,6338
gas,158.7,2015,62,6488
gas,169.7,2280,62,6918
gas,169.7,2290,62,7898
gas,169.7,3110,62,8778
gas,166.3,2081,70,6938
gas,166.3,2109,70,7198
diesel,166.3,2275,56,7898
diesel,166.3,2275,56,7788
gas,166.3,2094,70,7738
gas,166.3,2122,70,8358
gas,166.3,2140,70,9258
gas,168.7,2169,70,8058
gas,168.7,2204,70,8238
gas,168.7,2265,112,9298
gas,168.7,2300,112,9538
gas,176.2,2540,116,8449
gas,176.2,2536,116,9639
gas,176.2,2551,116,9989
gas,176.2,2679,116,11199
gas,176.2,2714,116,11549
gas,176.2,2975,116,17669
gas,175.6,2326,92,8948
diesel,175.6,2480,73,10698
gas,175.6,2414,92,9988
gas,175.6,2414,92,10898
gas,175.6,2458,92,11248
gas,183.5,2976,161,16558
gas,183.5,3016,161,15998
gas,187.8,3131,156,15690
gas,187.8,3151,156,15750
diesel,171.7,2261,52,7775
gas,171.7,2209,85,7975
diesel,171.7,2264,52,7995
gas,171.7,2212,85,8195
gas,171.7,2275,85,8495
diesel,171.7,2319,68,9495
gas,171.7,2300,100,9995
gas,159.3,2254,90,11595
gas,165.7,2221,90,9980
gas,180.2,2661,110,13295
diesel,180.2,2579,68,13845
gas,183.1,2563,88,12290
gas,188.8,2912,114,12940
gas,188.8,3034,114,13415
gas,188.8,2935,114,15985
gas,188.8,3042,114,16515
gas,188.8,3045,162,18420
gas,188.8,3157,162,18950
gas,188.8,2952,114,16845
gas,188.8,3049,160,19045
gas,188.8,3012,134,21485
diesel,188.8,3217,106,22470
gas,188.8,3062,114,22625
